"","OM_Titan","Gene Symbols","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2342","ENSRNOG00000004687","Thbd",87.11020696,-3.108098272,0.243130717,-12.78365114,2.02e-37,1.64e-36
"2354","ENSRNOG00000004708","Aard",50.18916806,-2.576801192,0.541334352,-4.76009177,1.94e-06,5.32e-06
"2418","ENSRNOG00000004821","Sntb1",928.9850818,-2.192441004,0.143059179,-15.32541299,5.17e-53,5.56e-52
"2433","ENSRNOG00000004854","Has2",2875.628839,-2.856907404,0.0621472,-45.97001017,0,0
"2450","ENSRNOG00000004890","Adcy8",429.7548457,-3.987717928,0.141808201,-28.1205029,5.5e-174,2.08e-172
"2464","ENSRNOG00000004918","Kcna4",279.7678468,-3.002932869,0.140033371,-21.44440888,5.15e-102,1.02e-100
"2465","ENSRNOG00000004921","Nusap1",858.7533889,-2.727948102,0.103926284,-26.24887573,7.36e-152,2.34e-150
"2484","ENSRNOG00000004964","Erbb3",12.24013701,-2.435928372,0.537697502,-4.530295124,5.89e-06,1.56e-05
"2487","ENSRNOG00000004968","Ncapg2",1296.778026,-2.183327982,0.076902486,-28.39086333,2.62e-177,1.03e-175
"2489","ENSRNOG00000004972","Upp1",270.5984557,-2.059091177,0.13053482,-15.77426758,4.68e-56,5.28e-55
"2513","ENSRNOG00000005037","Kif18a",307.58022,-2.27279389,0.120104856,-18.92341378,7.32e-80,1.13e-78
"2514","ENSRNOG00000005038","Ube2t",335.1571033,-3.137668943,0.159236699,-19.7044335,1.98e-86,3.33e-85
"2541","ENSRNOG00000005093","Lgr6",245.0390595,-3.398723911,0.19680822,-17.26921723,8.02e-67,1.05e-65
"2555","ENSRNOG00000005115","Asf1b",486.4069713,-2.34085883,0.114079174,-20.51959834,1.44e-93,2.59e-92
"2563","ENSRNOG00000005132","Slc52a3",1.668140385,-3.578535798,1.588967475,-2.252113938,0.024315073,0.043643638
"2652","ENSRNOG00000005332","Csdc2",99.69140401,-3.075897786,0.225035691,-13.66848863,1.57e-42,1.4e-41
"2675","ENSRNOG00000005365","Kcnip1",33.63602505,-4.398474359,0.866456555,-5.076393428,3.85e-07,1.11e-06
"2683","ENSRNOG00000005376","Mad2l1",812.0041639,-2.139603097,0.073910817,-28.94844338,2.94e-184,1.21e-182
"2685","ENSRNOG00000005378","Gna15",1.012116841,-4.700274962,2.024221174,-2.322016499,0.020232047,0.036778373
