"","OM_Titan","Gene Symbols","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2542","ENSRNOG00000005094","C1qtnf7",460.7191214,4.446339667,0.10622317,41.85847291,0,0
"2589","ENSRNOG00000005185","Nxph3",97.21156796,2.366136366,0.18316466,12.91808346,3.56e-38,2.93e-37
"2593","ENSRNOG00000005195","Cst3",5491.490314,2.563452473,0.075596278,33.90977092,4.78e-252,3.02e-250
"2603","ENSRNOG00000005228","Gnptab",3333.556313,2.269099803,0.07050137,32.18518756,2.84e-227,1.56e-225
"2623","ENSRNOG00000005271","Rapgef5",41.66498602,9.739841981,1.197358601,8.134440238,4.14e-16,1.86e-15
"2631","ENSRNOG00000005284","Itpka",11.89962427,3.318536049,0.486296362,6.824102144,8.85e-12,3.31e-11
"2724","ENSRNOG00000005464","Lgalsl",1535.877489,2.457660307,0.049655591,49.49413078,0,0
"2725","ENSRNOG00000005465","Kcnmb1",25.79989787,3.166063359,0.430678598,7.351336643,1.96e-13,7.93e-13
"2777","ENSRNOG00000005592","Brinp2",5.225265506,2.210559767,0.778264776,2.840369802,0.004506126,0.009029673
"2819","ENSRNOG00000005695","Mgp",8655.723155,2.375480766,0.082449337,28.81139919,1.54e-182,6.25e-181
"2888","ENSRNOG00000005854","Angpt1",289.5632828,4.541883943,0.142949071,31.77274194,1.54e-221,8.12e-220
"2890","ENSRNOG00000005861","Hsd11b1",3085.804406,4.641190031,0.056399458,82.29139472,0,0
"2894","ENSRNOG00000005871","Il1rn",25.26133449,3.431472947,0.372489928,9.212256991,3.19e-20,1.65e-19
"2915","ENSRNOG00000005917","Pawr",1176.188132,2.19308324,0.066900817,32.78111283,1.09e-235,6.26e-234
"2956","ENSRNOG00000005998","Smoc1",74.8382336,2.500908803,0.241003449,10.37706644,3.15e-25,1.9e-24
"2975","ENSRNOG00000006052","Sulf2",3848.437327,4.732428363,0.067440067,70.17235532,0,0
"2976","ENSRNOG00000006060","Matn2",172.4292959,3.725555431,0.138450896,26.90885747,1.73e-159,5.92e-158
"2983","ENSRNOG00000006076","Steap2",3029.211067,2.488333284,0.043030083,57.82775915,0,0
"2985","ENSRNOG00000006079","Psd4",29.17334673,5.341508005,0.474887316,11.24794836,2.37e-29,1.58e-28
"2997","ENSRNOG00000006104","Tg",86.84829654,2.12365739,0.233116469,9.109855695,8.25e-20,4.21e-19
"3006","ENSRNOG00000006122","Igf2bp1",13.32576308,3.187766494,0.456295629,6.986186787,2.82e-12,1.08e-11
"3018","ENSRNOG00000006167","Rasal3",5.846261726,2.388105576,0.734287403,3.25227638,0.001144846,0.002468937
"3037","ENSRNOG00000006231","Ptpro",13.44909769,4.228026029,0.541658299,7.805707098,5.92e-15,2.54e-14
"3053","ENSRNOG00000006280","Pcsk9",40.375466,3.112598732,0.296681229,10.49139084,9.46e-26,5.79e-25
"3136","ENSRNOG00000006498","Lrrc69",1.903608475,2.807595984,1.243779088,2.257310813,0.02398866,0.043111663
"3142","ENSRNOG00000006509","Srgap3",861.6247806,2.255921355,0.18164419,12.4194523,2.05e-35,1.59e-34
"3175","ENSRNOG00000006591","unkown",2.268496075,6.517537476,2.204481637,2.956494337,0.003111579,0.006369249
"3192","ENSRNOG00000006631","Sema3e",1602.751455,2.297171841,0.086783628,26.47010611,2.14e-154,6.99e-153
"3203","ENSRNOG00000006653","Slc38a4",199.7720266,4.568577181,0.153269286,29.80751914,3.12e-195,1.41e-193
