ENSEMBL ID,Gene Symbols,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000010478,LOC299282,265.0003183,11.52768135,1.024735813,11.24941786,2.33E-29,1.56E-28
ENSRNOG00000010517,Fam126a,1544.632734,2.991950119,0.141566394,21.13460711,3.82E-99,7.36E-98
ENSRNOG00000010655,Mttp,10.72307926,3.249403318,0.576023005,5.641099902,1.69E-08,5.32E-08
ENSRNOG00000010666,Ccn5,4664.329413,2.94658423,0.043403886,67.88756748,0,0
ENSRNOG00000010805,Fabp4,28.97621168,5.291391779,0.433641679,12.2022214,3.02E-34,2.29E-33
ENSRNOG00000010832,Pdgfrl,993.2869302,2.124539126,0.074427227,28.54518722,3.22E-179,1.28E-177
ENSRNOG00000010885,Zyg11a,5.438999352,6.791842517,1.339130417,5.07183052,3.94E-07,1.14E-06
ENSRNOG00000011068,Papss2,2101.292604,2.167733411,0.053521855,40.50183624,0,0
ENSRNOG00000011071,Nt5e,2254.600706,4.986556445,0.070846526,70.38533421,0,0
ENSRNOG00000011160,Sv2b,64.6214582,7.054212739,0.501091576,14.07769174,5.21E-45,4.86E-44
ENSRNOG00000011184,Slc13a4,14.91667932,8.171068013,1.228088037,6.653487182,2.86E-11,1.04E-10
ENSRNOG00000011263,Plac9,321.2301502,3.747847287,0.150667909,24.87488747,1.39E-136,3.89E-135
ENSRNOG00000011271,Mcc,1190.413512,2.648458108,0.208798774,12.68426082,7.23E-37,5.79E-36
ENSRNOG00000011475,Srcin1,4.817182468,3.251467255,0.748661667,4.343039586,1.41E-05,3.61E-05
ENSRNOG00000011478,Ackr4,269.6244353,2.516494288,0.103264199,24.36947472,3.60E-131,9.54E-130
ENSRNOG00000011521,Filip1,449.1717559,4.705212344,0.117728314,39.96670114,0,0
ENSRNOG00000011557,S100a8,8.638700967,8.419853828,1.274812719,6.604777078,3.98E-11,1.45E-10
ENSRNOG00000011648,Aqp1,31232.72447,2.944276313,0.028378215,103.7512856,0,0
ENSRNOG00000011649,Epb42,9.353740399,4.472106502,0.811465905,5.511145291,3.57E-08,1.10E-07
ENSRNOG00000011659,Alpk3,26.11304619,5.404524558,0.496821939,10.87819223,1.46E-27,9.35E-27
