ENSEMBL ID,Gene names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene Symbols
ENSRNOG00000010575,Dapp1,13.87839964,2.30833391,0.478226769,4.826860522,1.39e-06,4.01e-06,
ENSRNOG00000010598,unkown,12.84477898,2.797819576,0.622966666,4.491122445,7.08e-06,1.93e-05,
ENSRNOG00000010655,Mttp,10.72307926,2.810937224,0.550218139,5.108768732,3.24e-07,9.85e-07,
ENSRNOG00000010658,Cth,775.4460397,2.253804082,0.071287629,31.61564108,2.2499999999999998e-219,1.65e-217,
ENSRNOG00000010805,Fabp4,28.97621168,8.144748645,1.048222273,7.770058748,7.84e-15,3.67e-14,
ENSRNOG00000010885,Zyg11a,5.438999352,7.607231352,1.339130417,5.680724788,1.34e-08,4.49e-08,
ENSRNOG00000011068,Papss2,2101.292604,2.178057428,0.054088683,40.26826539,0.0,0.0,
ENSRNOG00000011071,Nt5e,2254.600706,4.959983435,0.071772509,69.10700904,0.0,0.0,
ENSRNOG00000011134,Lama2,734.6313896,2.042672665,0.120152004,17.00073735,8.11e-65,1.28e-63,
ENSRNOG00000011160,Sv2b,64.6214582,6.528498898,0.450749367,14.48365629,1.5400000000000002e-47,1.78e-46,
ENSRNOG00000011184,Slc13a4,14.91667932,5.54590266,0.684080976,8.10708506,5.18e-16,2.57e-15,
ENSRNOG00000011263,Plac9,321.2301502,2.355158043,0.136802312,17.21577662,2.02e-66,3.27e-65,
ENSRNOG00000011271,Mcc,1190.413512,2.163299163,0.208254454,10.38776902,2.82e-25,1.92e-24,
ENSRNOG00000011323,Lgi3,6.912511411,2.090247144,0.634954896,3.291961613,0.000994912,0.002178471,
ENSRNOG00000011475,Srcin1,4.817182468,4.676750175,1.010400318,4.628611149,3.68e-06,1.03e-05,
ENSRNOG00000011478,Ackr4,269.6244353,2.001632623,0.09878152,20.26322956,2.7199999999999997e-91,6.1699999999999995e-90,
ENSRNOG00000011500,Pou2af1,2.454928549,3.531414594,1.441631581,2.44959575,0.014301668,0.02647095,
ENSRNOG00000011521,Filip1,449.1717559,3.250403755,0.092951377,34.9688608,6.69e-268,6.59e-266,
ENSRNOG00000011557,S100a8,8.638700967,6.412584524,1.129502339,5.677353915,1.37e-08,4.58e-08,
ENSRNOG00000011648,Aqp1,31232.72447,3.708057505,0.028851982,128.5200276,0.0,0.0,
ENSRNOG00000011649,Epb42,9.353740399,3.421886166,0.71982171,4.753796835,2e-06,5.69e-06,
ENSRNOG00000011659,Alpk3,26.11304619,4.841126771,0.450918923,10.73613575,6.89e-27,4.9000000000000005e-26,
ENSRNOG00000011696,Lifr,361.8897554,3.240268912,0.185262503,17.49014971,1.6999999999999999e-68,2.8299999999999998e-67,
ENSRNOG00000011718,C1rl,109.7647203,2.302585139,0.184876436,12.45472482,1.32e-35,1.18e-34,
ENSRNOG00000011750,Fam180a,65.91768425,7.535367913,0.569829021,13.22391038,6.389999999999999e-40,6.32e-39,
ENSRNOG00000011800,F3,1381.362721,2.91583808,0.059235585,49.22443331,0.0,0.0,
