ENSEMBL ID,Gene names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene Symbols
ENSRNOG00000022067,,463.3869927,2.212099973,0.127336119,17.37213283,1.34e-67,1.7800000000000002e-66,Tlr5
ENSRNOG00000022081,,1.2953396,5.270140519,2.054942141,2.564617472,0.010328961,0.019633127,Ddi1
ENSRNOG00000022239,,20.28732677,8.67603552,1.213912387,7.1471678,8.86e-13,3.48e-12,Trarg1
ENSRNOG00000022432,,42.68705555,2.079851994,0.33075216,6.28824916,3.21e-10,1.12e-09,Tmem59l
ENSRNOG00000022523,,6432.515906,3.726031154,0.041581187,89.60858093,0.0,0.0,Fkbp5
ENSRNOG00000022636,,257.7146084,2.05208025,0.121758866,16.85364132,9.86e-64,1.23e-62,Alpk1
ENSRNOG00000022673,,13.18422872,2.438878568,0.566913268,4.302031202,1.69e-05,4.32e-05,Slc22a20
ENSRNOG00000022760,,8.871563033,3.43234862,0.578073975,5.937559501,2.89e-09,9.54e-09,Rubcnl
ENSRNOG00000023116,,37.39877725,3.599302936,0.298632858,12.05260185,1.88e-33,1.39e-32,Agmo
ENSRNOG00000023151,,49.67236906,4.608659319,0.335429874,13.73956132,5.88e-43,5.31e-42,Scgb2a1
ENSRNOG00000023686,,3.291811743,2.780120042,0.949509862,2.927952783,0.003412019,0.00694762,Upk3b
ENSRNOG00000023828,,3.232013232,2.954472467,1.148695817,2.572023353,0.010110607,0.019255351,LOC680875
ENSRNOG00000024082,,13291.60312,2.326798789,0.047692018,48.7880126,0.0,0.0,Gldn
ENSRNOG00000024435,,1309.281494,2.119017999,0.10542027,20.1006695,7.28e-90,1.26e-88,Galnt17
ENSRNOG00000024651,,125.8918152,4.5101138,0.219216092,20.57382634,4.7099999999999997e-94,8.52e-93,Greb1
ENSRNOG00000024689,,99.90244725,4.251139382,0.273632433,15.53594851,1.98e-54,2.18e-53,Hopx
ENSRNOG00000024705,,324.4366678,3.078560963,0.137917715,22.32172247,2.2700000000000002e-110,4.9e-109,Rarres2
ENSRNOG00000025360,,8.718161647,2.049718637,0.506659563,4.045554031,5.22e-05,0.000128434,Exd1
ENSRNOG00000025476,,98.21377366,4.910840814,0.234632426,20.92993237,2.86e-97,5.37e-96,Tmem252
ENSRNOG00000025502,,43.37054599,3.425461256,0.332490978,10.30241867,6.87e-25,4.09e-24,Arhgef37
ENSRNOG00000025689,,258.0465225,2.047639226,0.121059595,16.91430753,3.53e-64,4.44e-63,Abhd1
ENSRNOG00000025736,,149.1300053,9.077065457,0.722496519,12.56347294,3.35e-36,2.65e-35,Tcf23
ENSRNOG00000025745,,3.352788022,2.955614676,1.068970574,2.764916778,0.005693732,0.011238104,unkown
ENSRNOG00000025994,,56.22149181,3.370042418,0.237940842,14.16336256,1.54e-45,1.45e-44,Krt80
ENSRNOG00000026087,,6.004288193,2.443136929,0.662282489,3.688965011,0.000225168,0.000523569,Igfn1
ENSRNOG00000026302,,84.11915693,2.039926349,0.168343676,12.11762984,8.52e-34,6.37e-33,unkown
ENSRNOG00000026328,,1.418698112,4.037086426,1.583688974,2.549166214,0.010798082,0.02046853,Gpr137c
ENSRNOG00000026344,,3.977484432,4.338225701,1.013046416,4.2823563,1.85e-05,4.71e-05,Togaram2
ENSRNOG00000026455,,1388.833008,2.085014182,0.058027251,35.93163779,9.8e-283,7.43e-281,Gpd1l
ENSRNOG00000026523,,2.335592432,5.136391736,1.419533458,3.618366096,0.000296469,0.00068121,RGD1309106
ENSRNOG00000026573,,161.6435575,2.002223549,0.129802385,15.42516767,1.11e-53,1.2e-52,Ophn1
ENSRNOG00000027030,,647.9453266,5.19827373,0.117395509,44.28000485,0.0,0.0,Adm
ENSRNOG00000027259,,247.0088397,2.849240699,0.13981584,20.37852572,2.59e-92,4.62e-91,Faxdc2
ENSRNOG00000027380,,5.460905719,4.340133426,0.98433543,4.409201676,1.04e-05,2.7e-05,Upk1b
ENSRNOG00000027697,,9.655665166,2.253484568,0.612466618,3.679359009,0.000233821,0.000542674,Nmnat2
ENSRNOG00000027730,,3.461520743,3.977959763,1.239408709,3.209562539,0.001329371,0.002846691,Nxpe1
ENSRNOG00000027742,,181.9586586,4.66807025,0.180788808,25.820571,5.209999999999999e-147,1.58e-145,Adamtsl2
ENSRNOG00000027770,,71.60079024,4.779004551,0.264837919,18.04501623,8.63e-73,1.23e-71,Trpm3
ENSRNOG00000027799,,5.785355598,2.971662493,0.923714758,3.217078071,0.001295034,0.002776985,Tmie
ENSRNOG00000028064,,21.06513289,2.993730821,0.373556705,8.014126846,1.11e-15,4.9e-15,Fhad1
ENSRNOG00000028261,,5.484940785,2.007556639,0.861845757,2.329368825,0.019839535,0.03612468,Tppp
ENSRNOG00000028390,,547.3161422,3.316662771,0.087198326,38.03585384,0.0,0.0,Hhipl1
ENSRNOG00000028426,,384.2667364,2.393104381,0.106175127,22.53921847,1.71e-112,3.78e-111,Mcf2l
ENSRNOG00000028598,,29.19058787,5.492447317,0.483626956,11.35678491,6.86e-30,4.63e-29,Edar
ENSRNOG00000028622,,3.592752497,2.655434573,0.971561971,2.733160263,0.00627298,0.012325346,Pnpla1
ENSRNOG00000028668,,478.3941597,3.609647891,0.091285222,39.54252206,0.0,0.0,Slc28a2
ENSRNOG00000028845,,1562.62181,2.156649641,0.071222573,30.28042305,2.08e-201,9.83e-200,Ebf1
ENSRNOG00000029047,,74.989621,3.256222191,0.21345667,15.25472216,1.53e-52,1.63e-51,Cubn
ENSRNOG00000029191,,3.790961773,3.809692495,1.218287529,3.127088151,0.00176547,0.003732148,LOC685067
ENSRNOG00000029292,,4.587667393,2.681815848,0.736310728,3.642233838,0.000270282,0.00062342,unkown
ENSRNOG00000029342,,25.02903516,4.775198913,0.502897621,9.495369856,2.19e-21,1.17e-20,Scn7a
ENSRNOG00000029590,,4.992213589,2.429982842,0.92871732,2.616493511,0.008883805,0.017072277,Spatc1
ENSRNOG00000029597,,212.2305474,2.393187107,0.157405664,15.20394533,3.33e-52,3.53e-51,AABR07030544.1
ENSRNOG00000029598,,243.7502196,6.483449205,0.212869175,30.45743562,9.55e-204,4.58e-202,Robo2
ENSRNOG00000029792,,6521.013346,3.076607515,0.064966668,47.35670777,0.0,0.0,Ogn
ENSRNOG00000029980,,287.2514879,12.538817,1.181411842,10.61341739,2.58e-26,1.61e-25,Zbtb16
ENSRNOG00000030111,,449.6320272,2.921604549,0.189011769,15.45726264,6.739999999999999e-54,7.33e-53,Cyp11b2
ENSRNOG00000030363,,2.254157886,4.393164627,1.507617417,2.913978425,0.003568546,0.007246606,Psma8
ENSRNOG00000031163,,298.4681339,2.437582065,0.109213647,22.31939079,2.4e-110,5.1600000000000015e-109,Nfkbiz
ENSRNOG00000031710,,4.637711888,2.301828744,0.710291611,3.240681305,0.001192444,0.002566733,unkown
ENSRNOG00000031716,,53.82215982,3.25353002,0.274047871,11.87212297,1.65e-32,1.2e-31,Ecm2
ENSRNOG00000031971,,4.532569772,6.408143497,1.367877024,4.684736553,2.8e-06,7.63e-06,Prss42
ENSRNOG00000032447,,38.26707605,2.811068432,0.271767173,10.34366439,4.47e-25,2.6799999999999998e-24,Zfp641
