ENSEMBL ID,Gene Symbols,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000000055,Fcrl6,0.229307182,0,4.729146952,0,1,
ENSRNOG00000000060,unkown,8.302677352,1.007536631,0.641192571,1.571347948,0.11610185,0.178603505
ENSRNOG00000000062,Pcgf3,1386.568209,0.036234713,0.096954346,0.373729638,0.708605473,0.78668361
ENSRNOG00000000064,Atp5me,1625.157663,0.216101156,0.138814979,1.556756753,0.119528249,0.183194835
ENSRNOG00000000065,Pde6b,11.19010613,0.445033048,0.497538278,0.894469967,0.371070492,0.478717877
ENSRNOG00000000066,Fbxo28,908.6279465,0.523220218,0.067387892,7.764306091,8.21E-15,3.50E-14
ENSRNOG00000000068,Ppp2r5a,1640.418595,0.266936159,0.054821629,4.869175941,1.12E-06,3.13E-06
ENSRNOG00000000070,Dr1,2004.91309,0.146678911,0.050653771,2.895715517,0.003782952,0.007647874
ENSRNOG00000000073,Tmed5,443.1323095,0.002185001,0.089545612,0.024400989,0.98053276,0.98846505
ENSRNOG00000000075,Mtf2,563.8894429,-0.573438951,0.083685084,-6.852343654,7.26E-12,2.73E-11
ENSRNOG00000000081,Antxr2,1018.554076,0.028432678,0.100162736,0.283864833,0.776513968,0.843533037
ENSRNOG00000000082,Hltf,893.970603,-0.572060516,0.085725934,-6.673132487,2.50E-11,9.18E-11
ENSRNOG00000000091,Smad9,492.2513043,-0.116658076,0.09101867,-1.281693926,0.199950036,0.287248262
ENSRNOG00000000095,Gpr89b,1332.497354,0.363701637,0.055454997,6.558500684,5.44E-11,1.96E-10
ENSRNOG00000000096,Pdzk1,263.4788303,0.134653472,0.111120616,1.211777589,0.225597529,0.318237821
ENSRNOG00000000097,unkown,2.381570564,2.032641052,1.063372691,1.911503906,0.055939855,0.093391581
ENSRNOG00000000098,Rnf115,2355.871677,0.08974906,0.045007913,1.994072904,0.046144088,0.078419734
ENSRNOG00000000104,Thoc3,1080.095491,-1.084366425,0.0601119,-18.03913067,9.60E-73,1.36E-71
ENSRNOG00000000105,Cplx2,829.8981245,-1.220982523,0.114564108,-10.65763566,1.61E-26,1.00E-25
ENSRNOG00000000108,Aga,1722.882548,0.378733443,0.061593251,6.148943857,7.80E-10,2.66E-09
ENSRNOG00000000111,Coprs,236.6882795,-0.730388433,0.115998497,-6.296533611,3.04E-10,1.06E-09
ENSRNOG00000000112,Champ1,1325.468382,-0.041167088,0.061753422,-0.666636543,0.505004321,0.611550434
ENSRNOG00000000113,Elac1,252.4544469,0.713586371,0.106977588,6.670428707,2.55E-11,9.34E-11
ENSRNOG00000000121,Pigv,366.1655026,-0.240299899,0.089013725,-2.699582554,0.006942653,0.013575385
ENSRNOG00000000122,Ak2,2170.216196,-0.330451637,0.051895232,-6.367668553,1.92E-10,6.76E-10
ENSRNOG00000000123,Rnf19b,1593.954506,-0.08995246,0.0530619,-1.695236325,0.090030599,0.143146811
ENSRNOG00000000127,Kpna6,2550.263249,-0.348127758,0.059409118,-5.859837168,4.63E-09,1.51E-08
ENSRNOG00000000129,Phf24,176.5925116,-2.526993044,0.193597908,-13.05279105,6.13E-39,5.12E-38
ENSRNOG00000000130,Dnajb5,1051.534882,0.351270693,0.059375352,5.916102947,3.30E-09,1.08E-08
ENSRNOG00000000133,Txndc15,1350.909925,0.390054647,0.064003502,6.094270386,1.10E-09,3.72E-09
ENSRNOG00000000137,Ly86,0.280219935,-2.099957916,4.421718116,-0.474918993,0.634844713,
ENSRNOG00000000138,Glis1,89.41166287,1.678584978,0.188162605,8.920927611,4.62E-19,2.30E-18
ENSRNOG00000000142,Plxdc2,1213.36888,1.786525373,0.088797528,20.11908901,5.02E-90,8.72E-89
ENSRNOG00000000145,Pik3r3,308.3759336,0.099115724,0.138910889,0.713520191,0.475523924,0.583422737
ENSRNOG00000000150,Dnajc1,2427.95948,0.198707276,0.040882473,4.860451449,1.17E-06,3.27E-06
ENSRNOG00000000151,Ldlrap1,398.6761544,0.56225288,0.09597357,5.858413742,4.67E-09,1.52E-08
ENSRNOG00000000155,Cog3,1041.846048,0.024534747,0.085555309,0.286770593,0.774287981,0.84168846
ENSRNOG00000000156,Megf6,16.87393965,-0.409599184,0.851824873,-0.480849054,0.630623783,0.720337892
ENSRNOG00000000157,Atg12,1534.887338,0.259168039,0.051741166,5.008933134,5.47E-07,1.57E-06
ENSRNOG00000000158,Cdo1,399.0690348,4.849724918,0.111887766,43.34455029,0,0
ENSRNOG00000000161,Chm,883.6252337,0.275320683,0.103423599,2.662068291,0.007766212,0.015059495
ENSRNOG00000000164,Lamp2,7144.498677,1.782380871,0.034156101,52.18338259,0,0
ENSRNOG00000000165,Pfkfb1,96.96022145,-1.536806014,0.17752689,-8.656750596,4.85E-18,2.33E-17
ENSRNOG00000000166,Apex2,234.7132219,-0.20464991,0.11493008,-1.780647076,0.074970124,0.121784845
ENSRNOG00000000167,Alas2,0.969700632,0.336069452,2.044432633,0.164382747,0.869429845,0.90963468
ENSRNOG00000000168,Gatm,950.7189046,-1.011146311,0.069687348,-14.50975454,1.05E-47,1.03E-46
ENSRNOG00000000169,Spata5l1,262.7011751,-0.920608357,0.103738197,-8.874343136,7.03E-19,3.47E-18
ENSRNOG00000000170,Slc30a4,2493.981211,-0.193227456,0.066715181,-2.89630417,0.003775862,0.007636024
ENSRNOG00000000172,Sqor,1645.577881,3.587780336,0.059454591,60.34488271,0,0
ENSRNOG00000000175,Mier2,587.252872,-0.602141589,0.070288629,-8.566699876,1.06E-17,5.06E-17
ENSRNOG00000000177,Plpp2,519.3014311,-0.864753259,0.107125559,-8.072333689,6.90E-16,3.07E-15
ENSRNOG00000000184,Tmprss6,36.36289352,1.315023932,0.328649844,4.001291814,6.30E-05,0.000153987
ENSRNOG00000000185,Mpst,657.2227102,0.700283319,0.086578373,8.088432421,6.04E-16,2.70E-15
ENSRNOG00000000186,Tst,71.92238745,0.276376223,0.184063689,1.501524959,0.133219836,0.201563459
ENSRNOG00000000190,Ep300,678.741742,0.440378252,0.314796391,1.398930435,0.161833845,0.238815306
ENSRNOG00000000195,Vwa5a,2634.686339,-0.447758321,0.049284811,-9.085117946,1.04E-19,5.27E-19
ENSRNOG00000000196,Cyp19a1,18.00411961,-1.603703481,0.420845227,-3.810672849,0.000138589,0.000328223
ENSRNOG00000000199,Dppa5,1.73078118,-0.241518243,1.03402143,-0.233571797,0.815317425,0.871991957
ENSRNOG00000000201,Gsta5,57.82688652,-6.633787707,0.736457061,-9.007704672,2.10E-19,1.06E-18
ENSRNOG00000000204,Syncrip,7308.581358,-0.563257091,0.060391421,-9.326773233,1.09E-20,5.71E-20
ENSRNOG00000000219,Ano10,2283.916457,0.815494704,0.042261987,19.2961753,5.78E-83,9.26E-82
ENSRNOG00000000221,Abhd5,1517.233776,0.482229791,0.050446954,9.559145867,1.19E-21,6.40E-21
ENSRNOG00000000230,Lmf1,644.3016373,0.25464944,0.078971931,3.224556353,0.00126168,0.002708266
ENSRNOG00000000231,Kctd17,1268.61992,0.193338514,0.058273712,3.317765521,0.000907406,0.00197968
ENSRNOG00000000233,Grm6,1.080453912,0.906070113,1.937666239,0.467608969,0.64006425,0.728445895
ENSRNOG00000000236,Zfp207,3761.353808,-0.199790404,0.042614755,-4.688291774,2.75E-06,7.50E-06
ENSRNOG00000000237,RGD1310429,272.1519742,0.256355443,0.112063621,2.287588428,0.0221615,0.040009056
ENSRNOG00000000239,Ccl7,65.31919826,-1.66402568,0.238526669,-6.976266788,3.03E-12,1.16E-11
ENSRNOG00000000244,Coil,288.5164584,-0.334148228,0.089970142,-3.713990219,0.000204017,0.000476167
ENSRNOG00000000245,Slc16a6,24.30529443,-2.535388793,0.431143016,-5.880621277,4.09E-09,1.34E-08
ENSRNOG00000000246,Amz2,1389.659945,-0.016835036,0.049132948,-0.342642489,0.731867434,0.806653651
ENSRNOG00000000247,Mfsd11,1069.525041,0.325109787,0.062304868,5.218047935,1.81E-07,5.34E-07
ENSRNOG00000000248,Srsf2,8420.459515,-1.227871677,0.05171839,-23.74149072,1.35E-124,3.31E-123
ENSRNOG00000000249,Mettl23,148.3490653,0.765206538,0.167682525,4.563424469,5.03E-06,1.34E-05
ENSRNOG00000000250,Jmjd6,661.5997819,-0.796253193,0.077576416,-10.26411425,1.02E-24,6.04E-24
ENSRNOG00000000251,St6galnac1,3.74062705,0.024091608,0.905888618,0.026594448,0.978783202,0.987232425
ENSRNOG00000000257,Smpd3,51.53694832,0.889802015,0.244483056,3.639524261,0.000273142,0.000629861
ENSRNOG00000000258,Prmt7,906.4289476,-0.471823245,0.058588132,-8.053222252,8.06E-16,3.58E-15
ENSRNOG00000000262,Zfp821,454.5161121,-0.453887071,0.083562963,-5.431677543,5.58E-08,1.70E-07
ENSRNOG00000000264,Def8,685.8291684,0.189237809,0.061472001,3.078439077,0.002080881,0.004356961
ENSRNOG00000000274,Phyhipl,13.59796515,-1.544671748,0.574435634,-2.689024942,0.007166106,0.013977166
ENSRNOG00000000275,Fam13c,236.9952331,1.270493096,0.134594475,9.439414928,3.75E-21,1.99E-20
ENSRNOG00000000277,Tet1,97.19682854,-0.465131581,0.202734118,-2.29429356,0.021773642,0.039362155
ENSRNOG00000000279,Rtn4ip1,465.1566624,-0.416792677,0.093615108,-4.452194572,8.50E-06,2.23E-05
ENSRNOG00000000281,Prodh1,33.80272191,5.40112993,0.441548389,12.23224921,2.09E-34,1.60E-33
